Accession,Source,GT_2016,GT_2017,Bourret_2016,Bourret_2017,SP_2017,SP_2018,Confectionery
HA89,INRAE,8.88,17.14,12.29,14.20,0.57,2.09,NO
83HR4,INRAE,12.50,75.86,35.38,38.17,62.00,25.04,NO
LR1,INRAE,2.88,23.86,19.50,23.57,4.33,0.41,NO
RHA439,USDA,2.63,7.33,19.88,3.43,3.57,1.63,NO
RHA464,USDA,0.25,2.14,2.38,0.00,0.00,0.13,NO
RSCOTT,INRAE,3.25,42.00,29.75,31.57,15.86,7.90,NO
PI-599764,USDA,24.50,43.14,29.00,52.86,36.29,16.86,YES
PI-655014,USDA,8.88,42.67,9.63,25.67,18.14,6.59,NO
PI-642771,USDA,15.00,31.43,26.88,34.14,13.43,8.32,NO
PI-642775,USDA,13.88,20.29,26.75,12.67,2.00,2.58,NO
PI-650842,USDA,12.75,46.00,38.63,35.14,51.71,13.80,NO
PI-650579,USDA,5.25,22.00,19.88,30.57,6.29,1.88,NO
PI-597373,USDA,6.63,16.43,23.50,41.29,15.00,14.25,NO
J2,IAS-CSIC,2.71,10.43,0.00,0.00,0.00,0.00,NO
J3,IAS-CSIC,0.13,12.00,1.13,1.00,0.00,0.00,NO
PO7-28,IAS-CSIC,8.17,11.50,11.75,6.14,0.14,0.25,NO
PO7-5,IAS-CSIC,15.63,40.71,11.25,9.29,1.14,0.75,NO
PO7-9,IAS-CSIC,8.25,29.00,18.25,11.00,3.43,5.38,NO
PO7-13,IAS-CSIC,0.63,4.43,6.25,5.83,0.00,0.04,NO
PO7-34,IAS-CSIC,4.50,14.57,3.83,2.29,0.00,0.50,NO
PO7-63,IAS-CSIC,5.00,13.00,6.14,3.17,0.00,0.00,NO
PO3-2,IAS-CSIC,0.17,1.29,2.60,3.00,0.00,0.00,NO
STR-1,IAS-CSIC,4.20,19.00,15.33,4.00,4.33,1.93,NO
PO7-61,IAS-CSIC,4.67,10.00,2.40,2.86,0.00,0.08,NO
PO7-38,IAS-CSIC,3.00,10.57,9.00,3.57,0.00,0.41,NO
B117,IAS-CSIC,3.75,33.00,6.88,7.29,10.83,18.24,YES
AM3,IAS-CSIC,3.50,39.43,17.13,20.29,0.00,0.13,NO
K96,IAS-CSIC,9.63,20.57,0.00,0.00,0.00,0.00,NO
AM2,IAS-CSIC,6.57,33.14,26.13,17.71,1.57,0.43,NO
AM1,IAS-CSIC,4.50,32.57,19.25,7.29,2.86,5.48,NO
